ID,gCF,gCF_N,gDF1,gDF1_N,gDF2,gDF2_N,gDFP,gDFP_N,gN,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,posterior_prob,branchlength,chrom,Node_17,Node_18,Node_19,Pop_Nodes
1,95.8,433,0.22,1,0,0,3.98,18,452,94.6,3270.18,2.81,88.83,2.59,83.57,3442.58,100,0.00344279,Z,FALSE,FALSE,FALSE,FALSE
2,63.05,285,0.88,4,1.55,7,34.51,156,452,86.08,986.62,8.57,103.63,5.35,61.51,1151.76,100,0.00131878,Z,FALSE,FALSE,FALSE,FALSE
3,35.4,160,4.87,22,10.84,49,48.89,221,452,54.28,219.25,14.69,57.48,31.03,131.59,408.32,100,0.000463431,Z,FALSE,FALSE,FALSE,FALSE
4,50.22,227,7.96,36,6.64,30,35.18,159,452,79.9,186.46,14.94,34.87,5.15,11.07,232.4,100,0.00107274,Z,FALSE,FALSE,FALSE,FALSE
5,26.77,121,14.82,67,14.38,65,44.03,199,452,65.55,102.27,14.93,20.01,19.52,27.69,149.97,100,0.00038724,Z,FALSE,FALSE,FALSE,FALSE
6,55.97,253,4.65,21,1.33,6,38.05,172,452,86.03,579.59,6.98,43.76,6.99,43.4,666.75,100,0.00121226,Z,FALSE,FALSE,FALSE,FALSE
7,34.51,156,15.71,71,18.14,82,31.64,143,452,52.27,144.85,21.52,57.26,26.21,72.28,274.39,100,0.000230884,Z,FALSE,FALSE,FALSE,FALSE
8,56.19,254,13.05,59,5.75,26,25,113,452,80.16,371.52,10.32,46.31,9.51,41.54,459.37,100,0.000731489,Z,FALSE,FALSE,FALSE,FALSE
9,56.86,257,3.54,16,3.1,14,36.5,165,452,76.86,990.31,13.23,153.9,9.91,119.02,1263.23,100,0.000988461,Z,FALSE,FALSE,FALSE,FALSE
10,57.08,258,0.88,4,0.88,4,41.15,186,452,88.96,804.26,4.62,39.6,6.42,55.52,899.38,100,0.00175039,Z,FALSE,FALSE,FALSE,FALSE
11,34.96,158,5.31,24,10.62,48,49.12,222,452,62.4,166.78,12.7,34.58,24.89,65.85,267.21,100,0.000368829,Z,FALSE,FALSE,FALSE,FALSE
12,17.7,80,18.81,85,13.72,62,49.78,225,452,35.13,77.8,37.19,83.09,27.68,61.88,222.77,100,0.000150247,Z,FALSE,FALSE,FALSE,TRUE
13,40.93,185,8.41,38,7.08,32,43.58,197,452,69.64,156.24,14.74,34.24,15.62,35.46,225.94,100,0.000387815,Z,FALSE,FALSE,FALSE,FALSE
14,42.92,194,8.63,39,12.61,57,35.84,162,452,84.39,278.24,6.98,23.44,8.64,28.74,330.42,100,0.000980468,Z,FALSE,FALSE,FALSE,FALSE
15,44.47,201,0.44,2,0.66,3,54.42,246,452,74.39,379.09,12.94,59.52,12.67,59.14,497.75,100,0.00111888,Z,FALSE,FALSE,FALSE,FALSE
16,19.47,88,4.87,22,6.42,29,69.25,313,452,60.82,78.15,19.72,24.13,19.46,25.01,127.29,100,0.000600072,Z,FALSE,FALSE,FALSE,FALSE
17,7.3,33,5.75,26,1.55,7,85.4,386,452,48.56,132.07,26.36,70.34,25.07,60.48,262.89,100,0.000412468,Z,TRUE,FALSE,FALSE,FALSE
18,6.86,31,0.88,4,1.11,5,91.15,412,452,45.91,186.26,12,45.61,42.1,163.79,395.66,100,0.000505645,Z,FALSE,TRUE,FALSE,FALSE
19,6.64,30,0.88,4,9.07,41,83.41,377,452,28.85,91.24,8.51,30.23,62.64,238.74,360.21,100,0.000366787,Z,FALSE,FALSE,TRUE,FALSE
20,27.65,125,3.1,14,1.55,7,67.7,306,452,81.71,207.46,12.94,28.8,5.35,12.23,248.49,100,0.000898608,Z,FALSE,FALSE,FALSE,FALSE
21,11.5,52,4.2,19,12.83,58,71.46,323,452,62.01,190.26,24.21,59.16,13.78,36.46,285.88,100,0.000246005,Z,FALSE,FALSE,FALSE,FALSE
22,28.98,131,0.44,2,1.77,8,68.81,311,452,82.09,267.6,7.6,18.14,10.31,27.07,312.81,100,0.000572614,Z,FALSE,FALSE,FALSE,FALSE
23,13.05,59,1.33,6,1.11,5,84.51,382,452,60.19,198.32,24.5,74.56,15.31,49.6,322.48,100,0.000663615,Z,FALSE,FALSE,FALSE,FALSE
24,17.92,81,1.33,6,1.55,7,79.2,358,452,69.94,173.76,19.65,48.13,10.41,26.08,247.97,100,0.000406988,Z,FALSE,FALSE,FALSE,FALSE
25,11.28,51,7.08,32,15.27,69,66.37,300,452,48.3,52.24,17.59,18.73,34.11,34.67,105.64,100,0.000129382,Z,FALSE,FALSE,FALSE,TRUE
26,17.04,77,11.06,50,6.42,29,65.49,296,452,48.21,35.33,20.89,15.1,30.9,22.27,72.7,100,0.000155562,Z,FALSE,FALSE,FALSE,TRUE
27,16.81,76,1.99,9,4.87,22,76.33,345,452,82.84,129.75,8.5,13.28,8.65,13.53,156.56,100,0.000530155,Z,FALSE,FALSE,FALSE,FALSE
28,15.49,70,7.3,33,9.96,45,67.26,304,452,31.57,22.68,27.92,20.19,40.51,29.15,72.02,100,0.000108208,Z,FALSE,FALSE,FALSE,TRUE
29,29.87,135,9.51,43,8.19,37,52.43,237,452,89.18,88.13,6.7,6.72,4.12,4.27,99.12,100,0.000432515,Z,FALSE,FALSE,FALSE,FALSE
1,88.69,7954,0.83,74,0.41,37,10.07,903,8968,93.06,75234.36,3.89,3096.18,3.05,2471.1,80801.64,100,0.00344279,ma1,FALSE,FALSE,FALSE,FALSE
2,32.46,2911,3.99,358,1.17,105,62.38,5594,8968,72.13,27311.24,17.4,6991.75,10.46,4157.95,38460.94,100,0.00131878,ma1,FALSE,FALSE,FALSE,FALSE
3,15.72,1410,5.4,484,11.8,1058,67.08,6016,8968,39.21,6047.97,19.85,3109.76,40.95,6323.64,15481.37,100,0.000463431,ma1,FALSE,FALSE,FALSE,FALSE
4,55.11,4942,6.9,619,1.55,139,36.44,3268,8968,80.3,10292.4,14.68,1806.91,5.03,628.3,12727.61,100,0.00107274,ma1,FALSE,FALSE,FALSE,FALSE
5,21.62,1939,11.33,1016,11.69,1048,55.36,4965,8968,62.83,3595.36,17.16,962.83,20.02,1124.52,5682.71,100,0.00038724,ma1,FALSE,FALSE,FALSE,FALSE
6,47.59,4268,2.69,241,1.12,100,48.61,4359,8968,82.13,23692.73,10.72,2656.24,7.15,1853.53,28202.5,100,0.00121226,ma1,FALSE,FALSE,FALSE,FALSE
7,28.33,2541,20.67,1854,20.21,1812,30.79,2761,8968,43.26,4626.27,29.16,3077.03,27.58,2907.74,10611.04,100,0.000230884,ma1,FALSE,FALSE,FALSE,FALSE
8,59.85,5367,7.15,641,7.13,639,25.88,2321,8968,77.13,13382.92,12.07,2104.29,10.81,1888.17,17375.38,100,0.000731489,ma1,FALSE,FALSE,FALSE,FALSE
9,26.54,2380,5.03,451,2.94,264,65.49,5873,8968,61.09,24756.65,21.61,8350.03,17.3,6889.06,39995.74,100,0.000988461,ma1,FALSE,FALSE,FALSE,FALSE
10,40.6,3641,0.49,44,1.24,111,57.67,5172,8968,84.77,33136.5,6.5,2511.93,8.72,3358.31,39006.74,100,0.00175039,ma1,FALSE,FALSE,FALSE,FALSE
11,16.68,1496,6.13,550,14.09,1264,63.09,5658,8968,53.28,7513.07,18.64,2625.31,28.08,3987.57,14125.95,100,0.000368829,ma1,FALSE,FALSE,FALSE,FALSE
12,13.24,1187,13.07,1172,12.31,1104,61.38,5505,8968,31.3,2750.76,35.12,3087.48,33.58,2953.51,8791.75,100,0.000150247,ma1,FALSE,FALSE,FALSE,TRUE
13,34.66,3108,9.27,831,8.73,783,47.35,4246,8968,64.45,5842.58,18.05,1646.75,17.5,1590.9,9080.23,100,0.000387815,ma1,FALSE,FALSE,FALSE,FALSE
14,60.72,5445,4.76,427,3.81,342,30.71,2754,8968,87.1,16849.27,7.03,1335.62,5.87,1112.11,19297,100,0.000980468,ma1,FALSE,FALSE,FALSE,FALSE
15,26.45,2372,1.07,96,1.55,139,70.93,6361,8968,69.23,15581.27,13.77,3107.41,17,3838.21,22526.89,100,0.00111888,ma1,FALSE,FALSE,FALSE,FALSE
16,27.22,2441,4.46,400,4.04,362,64.28,5765,8968,70.67,4946.53,15.45,1074.39,13.87,964.14,6985.06,100,0.000600072,ma1,FALSE,FALSE,FALSE,FALSE
17,7.74,694,3.37,302,2.07,186,86.82,7786,8968,43.85,5354.92,28.55,3545.28,27.6,3378.13,12278.33,100,0.000412468,ma1,TRUE,FALSE,FALSE,FALSE
18,7.65,686,1.1,99,2.22,199,89.03,7984,8968,50.1,6963.35,17.47,2273.62,32.43,4635.47,13872.44,100,0.000505645,ma1,FALSE,TRUE,FALSE,FALSE
19,9.31,835,2.41,216,8.15,731,80.13,7186,8968,40.63,3896.19,13.23,1334.46,46.14,4946.05,10176.7,100,0.000366787,ma1,FALSE,FALSE,TRUE,FALSE
20,39.37,3531,3.14,282,4.59,412,52.89,4743,8968,72.88,5873.49,13.86,1158.43,13.26,1114.14,8146.06,100,0.000898608,ma1,FALSE,FALSE,FALSE,FALSE
21,16.26,1458,9.59,860,7.88,707,66.27,5943,8968,66.55,4895.98,17.49,1155.39,15.96,1081.21,7132.58,100,0.000246005,ma1,FALSE,FALSE,FALSE,FALSE
22,27.56,2472,2.82,253,3.08,276,66.54,5967,8968,74.45,7269.96,12.54,1099.53,13,1120.64,9490.13,100,0.000572614,ma1,FALSE,FALSE,FALSE,FALSE
23,13.02,1168,0.78,70,0.66,59,85.54,7671,8968,64.75,10495.2,17.08,2788.07,18.17,2997.3,16280.57,100,0.000663615,ma1,FALSE,FALSE,FALSE,FALSE
24,10.2,915,3.23,290,2.41,216,84.15,7547,8968,54.43,4888.7,25.78,2294.67,19.79,1752.01,8935.38,100,0.000406988,ma1,FALSE,FALSE,FALSE,FALSE
25,7.43,666,8.12,728,9,807,75.46,6767,8968,42.19,1660.71,27.43,1082.07,30.38,1190.14,3932.92,100,0.000129382,ma1,FALSE,FALSE,FALSE,TRUE
26,13.08,1173,7.43,666,8.08,725,71.41,6404,8968,47.55,1064.74,27.66,627.7,24.78,568.2,2260.64,100,0.000155562,ma1,FALSE,FALSE,FALSE,TRUE
27,19.03,1707,2.23,200,1.74,156,77,6905,8968,71.99,5033.83,15.56,1072.15,12.45,850.73,6956.71,100,0.000530155,ma1,FALSE,FALSE,FALSE,FALSE
28,17.95,1610,11.05,991,13.7,1229,57.29,5138,8968,31.07,1375.89,34.22,1525.59,34.71,1535.79,4437.27,100,0.000108208,ma1,FALSE,FALSE,FALSE,TRUE
29,37.59,3371,8.83,792,10.23,917,43.35,3888,8968,73.31,5137.79,12.04,859.8,14.65,1035.36,7032.95,100,0.000432515,ma1,FALSE,FALSE,FALSE,FALSE
1,89.35,5722,0.8,51,0.34,22,9.51,609,6404,92.67,55822.79,4.11,2472.76,3.23,1961.28,60256.83,100,0.00344279,ma2,FALSE,FALSE,FALSE,FALSE
2,34.56,2213,4.29,275,0.91,58,60.24,3858,6404,73.59,17399.06,16.92,4257.2,9.49,2366.82,24023.08,100,0.00131878,ma2,FALSE,FALSE,FALSE,FALSE
3,16.33,1046,5.23,335,12.09,774,66.35,4249,6404,40.83,4448.34,19.88,2164.57,39.3,4190.62,10803.53,100,0.000463431,ma2,FALSE,FALSE,FALSE,FALSE
4,56.01,3587,6.76,433,1.69,108,35.54,2276,6404,80.37,7501.14,14.66,1328.18,4.97,437.28,9266.6,100,0.00107274,ma2,FALSE,FALSE,FALSE,FALSE
5,21.13,1353,12.32,789,11.74,752,54.81,3510,6404,65.76,2342.7,17.43,614.9,16.81,591.44,3549.04,100,0.00038724,ma2,FALSE,FALSE,FALSE,FALSE
6,48.39,3099,3.08,197,1.31,84,47.22,3024,6404,80.95,16898.98,11.71,2248.4,7.34,1455.37,20602.75,100,0.00121226,ma2,FALSE,FALSE,FALSE,FALSE
7,30.34,1943,19.83,1270,19.85,1271,29.98,1920,6404,48.53,3999.23,24.34,1992.45,27.13,2220.56,8212.24,100,0.000230884,ma2,FALSE,FALSE,FALSE,FALSE
8,60.6,3881,7.31,468,6.96,446,25.12,1609,6404,74.47,10333.75,13.79,1941.42,11.74,1650.25,13925.42,100,0.000731489,ma2,FALSE,FALSE,FALSE,FALSE
9,28.12,1801,5.2,333,3.47,222,63.21,4048,6404,60.53,16809.91,21.97,5811.21,17.5,4774.98,27396.1,100,0.000988461,ma2,FALSE,FALSE,FALSE,FALSE
10,42.27,2707,0.45,29,1.19,76,56.09,3592,6404,85.2,26924.91,6.34,1996.62,8.46,2625.38,31546.91,100,0.00175039,ma2,FALSE,FALSE,FALSE,FALSE
11,16.35,1047,6.11,391,13.57,869,63.98,4097,6404,52.51,5646.9,19.16,2076.24,28.33,3099.9,10823.04,100,0.000368829,ma2,FALSE,FALSE,FALSE,FALSE
12,13.15,842,12.1,775,13.98,895,60.77,3892,6404,32.52,2000.67,31.74,1962.38,35.74,2219.03,6182.08,100,0.000150247,ma2,FALSE,FALSE,FALSE,TRUE
13,33.37,2137,8.99,576,9.2,589,48.44,3102,6404,58.74,3843.01,21.85,1445.26,19.41,1277.27,6565.54,100,0.000387815,ma2,FALSE,FALSE,FALSE,FALSE
14,60.65,3884,5.17,331,3.76,241,30.42,1948,6404,87.94,11606.11,6.2,804.38,5.87,757.34,13167.83,100,0.000980468,ma2,FALSE,FALSE,FALSE,FALSE
15,26.44,1693,0.86,55,1.44,92,71.27,4564,6404,67.4,10536.41,14.78,2333.41,17.82,2763.99,15633.81,100,0.00111888,ma2,FALSE,FALSE,FALSE,FALSE
16,25.78,1651,5,320,4.23,271,64.99,4162,6404,67.99,3646.79,16.66,887.35,15.35,818.5,5352.64,100,0.000600072,ma2,FALSE,FALSE,FALSE,FALSE
17,6.17,395,3.48,223,2.23,143,88.12,5643,6404,41.76,3553.57,29.7,2568.21,28.54,2429.32,8551.1,100,0.000412468,ma2,TRUE,FALSE,FALSE,FALSE
18,8.82,565,1.14,73,2.3,147,87.74,5619,6404,47.52,5684.78,17.79,2057.64,34.68,4157.27,11899.69,100,0.000505645,ma2,FALSE,TRUE,FALSE,FALSE
19,9.57,613,1.84,118,8.78,562,79.81,5111,6404,39.06,3064.76,13.01,1048.22,47.93,3955.35,8068.33,100,0.000366787,ma2,FALSE,FALSE,TRUE,FALSE
20,38.34,2455,3.47,222,4.65,298,53.54,3429,6404,73.13,4742.24,13.5,901.86,13.37,898.49,6542.59,100,0.000898608,ma2,FALSE,FALSE,FALSE,FALSE
21,18.6,1191,7.62,488,8.82,565,64.96,4160,6404,62.01,3831.92,19.58,1087.22,18.41,988.3,5907.44,100,0.000246005,ma2,FALSE,FALSE,FALSE,FALSE
22,29.61,1896,3.06,196,2.98,191,64.35,4121,6404,74.15,5466.37,12.89,856.91,12.96,856.14,7179.42,100,0.000572614,ma2,FALSE,FALSE,FALSE,FALSE
23,13.07,837,0.69,44,1,64,85.24,5459,6404,64.96,7846.32,16.54,2123.56,18.5,2376.6,12346.48,100,0.000663615,ma2,FALSE,FALSE,FALSE,FALSE
24,11.87,760,2.81,180,2.3,147,83.03,5317,6404,56.57,3826.43,24.58,1673.78,18.85,1287.25,6787.46,100,0.000406988,ma2,FALSE,FALSE,FALSE,FALSE
25,7.51,481,9.09,582,9.09,582,74.31,4759,6404,40.56,1229.31,29.1,900.23,30.33,906.07,3035.61,100,0.000129382,ma2,FALSE,FALSE,FALSE,TRUE
26,13.09,838,7.87,504,8.62,552,70.42,4510,6404,48.06,891.38,27.47,524.19,24.47,463.82,1879.39,100,0.000155562,ma2,FALSE,FALSE,FALSE,TRUE
27,20.05,1284,2.42,155,1.94,124,75.59,4841,6404,71.53,4228.29,15.86,936.49,12.61,725.42,5890.2,100,0.000530155,ma2,FALSE,FALSE,FALSE,FALSE
28,18.07,1157,11.59,742,16.05,1028,54.29,3477,6404,31.36,1050.44,38.6,1324.38,30.04,1018,3392.82,100,0.000108208,ma2,FALSE,FALSE,FALSE,TRUE
29,46.49,2977,7.68,492,7.75,496,38.09,2439,6404,79.49,5435.96,8.47,585.43,12.04,834.4,6855.79,100,0.000432515,ma2,FALSE,FALSE,FALSE,FALSE
1,92.41,5185,0.7,39,0.37,21,6.52,366,5611,95.47,47111.44,2.49,1224.1,2.04,1012.57,49348.11,100,0.00344279,ma3,FALSE,FALSE,FALSE,FALSE
2,40.74,2286,3.64,204,1.02,57,54.61,3064,5611,77.57,16617.97,14.07,3236.68,8.36,1911.09,21765.74,100,0.00131878,ma3,FALSE,FALSE,FALSE,FALSE
3,21.03,1180,4.56,256,11.48,644,62.93,3531,5611,47.44,4212.36,17.98,1611.39,34.58,3008.86,8832.61,100,0.000463431,ma3,FALSE,FALSE,FALSE,FALSE
4,56.35,3162,7.57,425,2.05,115,34.02,1909,5611,81.16,5493.38,13.72,931.42,5.13,331.88,6756.68,100,0.00107274,ma3,FALSE,FALSE,FALSE,FALSE
5,21.89,1228,13.72,770,13.3,746,51.1,2867,5611,67.56,1876.3,15.57,424.14,16.87,458.97,2759.41,100,0.00038724,ma3,FALSE,FALSE,FALSE,FALSE
6,48.21,2705,3.19,179,1.23,69,47.37,2658,5611,81.07,12254.91,11.47,1570.15,7.46,1039.16,14864.22,100,0.00121226,ma3,FALSE,FALSE,FALSE,FALSE
7,29.12,1634,18.7,1049,19.96,1120,32.22,1808,5611,47.32,2882.03,25.82,1556.13,26.86,1619.21,6057.37,100,0.000230884,ma3,FALSE,FALSE,FALSE,FALSE
8,57.17,3208,9.07,509,6.91,388,26.84,1506,5611,75.08,7538.31,13.83,1395.24,11.09,1114.06,10047.61,100,0.000731489,ma3,FALSE,FALSE,FALSE,FALSE
9,31.56,1771,5.74,322,4.4,247,58.3,3271,5611,63.63,14849.25,19.5,4380.36,16.86,3879.84,23109.45,100,0.000988461,ma3,FALSE,FALSE,FALSE,FALSE
10,48.3,2710,0.39,22,1.43,80,49.88,2799,5611,88.67,23729.31,4.56,1213.07,6.77,1787.38,26729.76,100,0.00175039,ma3,FALSE,FALSE,FALSE,FALSE
11,17.11,960,6.59,370,15.33,860,60.97,3421,5611,53.19,4312.71,18.44,1498.47,28.36,2340.11,8151.29,100,0.000368829,ma3,FALSE,FALSE,FALSE,FALSE
12,13.24,743,12.99,729,11.26,632,62.5,3507,5611,33.74,1527.66,33.82,1535.2,32.45,1471.19,4534.05,100,0.000150247,ma3,FALSE,FALSE,FALSE,TRUE
13,31.76,1782,9.16,514,9.48,532,49.6,2783,5611,58.88,2918.22,20.09,995.76,21.03,1046.58,4960.56,100,0.000387815,ma3,FALSE,FALSE,FALSE,FALSE
14,58.35,3274,5.1,286,4.12,231,32.44,1820,5611,84.89,9268.1,7.77,838.17,7.34,779.4,10885.67,100,0.000980468,ma3,FALSE,FALSE,FALSE,FALSE
15,33.35,1871,0.98,55,1.16,65,64.52,3620,5611,73.63,10280.59,11.97,1679.28,14.4,1992.8,13952.67,100,0.00111888,ma3,FALSE,FALSE,FALSE,FALSE
16,26.36,1479,4.65,261,4.35,244,64.64,3627,5611,72.24,2717.5,14.57,539.83,13.19,484.31,3741.64,100,0.000600072,ma3,FALSE,FALSE,FALSE,FALSE
17,6.29,353,4.56,256,2.85,160,86.29,4842,5611,39.46,2770.12,31.76,2255.87,28.78,2019.04,7045.03,100,0.000412468,ma3,TRUE,FALSE,FALSE,FALSE
18,8.31,466,0.75,42,2.48,139,88.47,4964,5611,53.94,4852.6,15.87,1356.26,30.2,2720.62,8929.48,100,0.000505645,ma3,FALSE,TRUE,FALSE,FALSE
19,9.04,507,1.85,104,8.31,466,80.81,4534,5611,37.46,1989.79,13.6,760.28,48.95,2872.89,5622.96,100,0.000366787,ma3,FALSE,FALSE,TRUE,FALSE
20,39.99,2244,2.85,160,3.62,203,53.54,3004,5611,76.38,3524.67,10.3,504.28,13.32,657.16,4686.11,100,0.000898608,ma3,FALSE,FALSE,FALSE,FALSE
21,14.24,799,10.92,613,7.98,448,66.85,3751,5611,58.57,2718.7,23.89,999.39,17.54,756.41,4474.5,100,0.000246005,ma3,FALSE,FALSE,FALSE,FALSE
22,23.99,1346,2.96,166,4.05,227,69.01,3872,5611,73.28,3289.47,12.82,516.22,13.9,544.78,4350.47,100,0.000572614,ma3,FALSE,FALSE,FALSE,FALSE
23,13.72,770,0.61,34,0.55,31,85.12,4776,5611,65.16,5947.83,16.53,1562.71,18.31,1746.19,9256.73,100,0.000663615,ma3,FALSE,FALSE,FALSE,FALSE
24,8.54,479,3.26,183,2.32,130,85.88,4819,5611,56.36,2930.12,25.08,1270.31,18.56,961.2,5161.63,100,0.000406988,ma3,FALSE,FALSE,FALSE,FALSE
25,6.56,368,7.84,440,8.57,481,77.03,4322,5611,42.21,839.33,27.82,558.53,29.96,583.48,1981.34,100,0.000129382,ma3,FALSE,FALSE,FALSE,TRUE
26,12.3,690,6.18,347,7.41,416,74.1,4158,5611,42.99,570.32,28.72,383.2,28.3,377.43,1330.95,100,0.000155562,ma3,FALSE,FALSE,FALSE,TRUE
27,17.07,958,1.82,102,2.03,114,79.08,4437,5611,69.16,2912.17,16.88,709.57,13.96,569.05,4190.79,100,0.000530155,ma3,FALSE,FALSE,FALSE,FALSE
28,15.84,889,13.49,757,10.89,611,59.78,3354,5611,32.8,1013.31,31.22,983.87,35.98,1117.73,3114.91,100,0.000108208,ma3,FALSE,FALSE,FALSE,TRUE
29,30.56,1715,12.42,697,11.78,661,45.23,2538,5611,64.41,3532.77,18.05,1000.19,17.54,959.19,5492.15,100,0.000432515,ma3,FALSE,FALSE,FALSE,FALSE
1,93.75,1754,0.43,8,0.43,8,5.4,101,1871,95.23,17184.5,2.66,470.11,2.11,374.57,18029.18,100,0.00344279,ma4,FALSE,FALSE,FALSE,FALSE
2,38.59,722,4.12,77,1.18,22,56.12,1050,1871,77.63,5233.44,14.27,1068.48,8.1,571.29,6873.21,100,0.00131878,ma4,FALSE,FALSE,FALSE,FALSE
3,20.68,387,6.15,115,10.42,195,62.75,1174,1871,44.76,1340.9,18.89,573.05,36.35,1080.74,2994.69,100,0.000463431,ma4,FALSE,FALSE,FALSE,FALSE
4,53.02,992,6.47,121,2.78,52,37.73,706,1871,72.78,1675.89,19.67,441.81,7.55,168.6,2286.3,100,0.00107274,ma4,FALSE,FALSE,FALSE,FALSE
5,19.88,372,11.81,221,14.8,277,53.5,1001,1871,63.64,564.46,19.41,162.04,16.95,143.51,870.01,100,0.00038724,ma4,FALSE,FALSE,FALSE,FALSE
6,48.42,906,3.1,58,1.66,31,46.82,876,1871,82.89,4448.95,10.58,508.51,6.53,330.29,5287.75,100,0.00121226,ma4,FALSE,FALSE,FALSE,FALSE
7,31.27,585,19.29,361,17.21,322,32.23,603,1871,52.4,937.58,24.15,424.23,23.44,415.83,1777.64,100,0.000230884,ma4,FALSE,FALSE,FALSE,FALSE
8,58.1,1087,8.44,158,8.66,162,24.8,464,1871,79.53,2278.18,10.92,312.45,9.54,275.62,2866.25,100,0.000731489,ma4,FALSE,FALSE,FALSE,FALSE
